time,open,xgb_prediction,lstm_prediction
2011-01-05,9.57,9.45762,8.81963062286377
2011-01-06,9.14,9.491612,8.786694526672363
2011-01-07,9.45,9.497021,8.798422813415527
2011-01-10,9.32,9.622205,8.828075408935547
2011-01-11,9.35,9.491612,8.871622085571289
2011-01-12,9.35,9.45762,8.866394996643066
2011-01-13,9.26,9.624414,8.823363304138184
2011-01-14,9.45,9.896292,8.829253196716309
2011-01-17,9.69,9.72783,8.864609718322754
2011-01-18,9.45,9.72783,8.881471633911133
2011-01-19,9.6,9.72783,8.916964530944824
2011-01-20,9.6,9.72783,8.915221214294434
2011-01-21,9.63,10.308316,8.937140464782715
2011-01-24,10.54,10.755829,9.148019790649414
2011-01-25,10.76,10.585314,9.431402206420898
2011-01-26,10.42,10.558559,9.468393325805664
2011-01-27,10.36,10.677723,9.497594833374023
2011-01-28,10.88,11.169624,9.53198528289795
2011-02-08,11.09,11.847004,9.774974822998049
2011-02-09,12.04,11.755289,10.060029029846191
2011-02-10,11.58,11.644817,10.206844329833984
2011-02-11,11.55,11.520606,10.3117094039917
2011-02-14,11.43,10.872415,10.28100872039795
2011-02-15,10.51,11.042717,10.0791654586792
2011-02-16,10.85,10.95079,10.196040153503418
2011-02-17,10.57,10.847036,10.16953182220459
2011-02-18,10.66,10.765757,10.197075843811035
2011-02-21,10.36,10.201931,10.110806465148926
2011-02-22,9.72,9.869213,9.762707710266112
2011-02-23,9.75,10.111111,9.45827579498291
2011-02-24,9.81,9.805734,9.420104026794434
2011-02-25,9.81,9.957508,9.202978134155272
2011-02-28,9.84,10.065291,9.235068321228027
2011-03-01,9.87,10.049039,9.115943908691406
2011-03-02,9.75,9.72783,9.098307609558104
2011-03-03,9.45,9.627613,8.8668794631958
2011-03-04,9.45,9.662272,8.772910118103027
2011-03-07,9.51,9.936533,8.851743698120117
2011-03-08,9.78,9.962696,8.915157318115234
2011-03-09,9.78,9.72783,8.884673118591309
2011-03-10,9.54,9.933601,8.904879570007324
2011-03-11,9.78,9.89195,8.934590339660645
2011-03-14,9.41,9.627613,8.91797161102295
2011-03-15,9.2,9.302232,8.823978424072266
2011-03-16,9.08,9.32904,8.844386100769043
2011-03-17,9.29,9.302232,8.877229690551758
2011-03-18,9.26,9.859808,8.834759712219238
2011-03-21,10.02,10.129633,9.009177207946776
2011-03-22,9.87,9.819986,9.195813179016112
2011-03-23,9.69,9.72783,9.071053504943848
2011-03-24,9.6,9.627613,9.01951503753662
2011-03-25,9.35,9.627613,8.912516593933105
2011-03-28,9.45,9.627613,8.972580909729004
2011-03-29,9.6,9.627613,8.995865821838379
2011-03-30,9.38,9.491612,9.018239974975586
2011-03-31,9.32,9.664482,9.005420684814453
2011-04-01,9.45,9.497021,8.990117073059082
2011-04-04,9.29,9.45762,8.810338973999023
2011-04-05,9.26,9.454077,8.787522315979004
2011-04-06,9.29,9.630928,8.757586479187012
2011-04-07,9.32,9.463028,8.883275032043457
2011-04-08,9.26,9.454077,8.83932113647461
2011-04-13,9.14,9.298689,8.845813751220703
2011-04-14,9.14,9.269407,8.802840232849121
2011-04-15,9.11,9.126209,8.78738784790039
2011-04-18,8.71,8.893917,8.690520286560059
2011-04-19,8.71,8.901418,8.598868370056152
2011-04-20,8.78,9.046276,8.598226547241211
2011-04-21,8.84,8.893917,8.599906921386719
2011-04-22,8.71,8.807056,8.492806434631348
2011-04-25,8.81,8.902828,8.40208911895752
2011-04-26,8.65,8.807056,8.432805061340332
2011-04-27,8.68,8.820108,8.353402137756348
2011-04-28,8.56,8.756304,8.358838081359863
2011-04-29,8.53,8.821519,8.32938289642334
2011-05-04,8.68,8.820108,8.404065132141113
2011-05-05,8.59,8.807056,8.388812065124512
2011-05-06,8.53,8.920155,8.341351509094238
2011-05-09,8.78,8.893917,8.420331001281738
2011-05-10,8.71,8.807056,8.411575317382812
2011-05-11,8.59,8.807056,8.373644828796387
2011-05-12,8.65,8.807056,8.394495010375977
2011-05-13,8.56,8.859392,8.39209270477295
2011-05-16,8.99,9.376273,8.405145645141602
2011-05-17,9.41,9.750759,8.576933860778809
2011-05-18,9.87,9.909665,8.748139381408691
2011-05-19,9.66,9.662272,8.941169738769531
2011-05-20,9.23,9.210606,8.890381813049316
2011-05-23,8.71,8.808396,8.779051780700684
2011-05-24,8.47,8.352462,8.649645805358887
2011-05-25,7.89,7.9544263,8.509434700012207
2011-05-26,7.53,8.522877,8.38228702545166
2011-05-27,8.53,8.864566,8.523706436157227
2011-05-30,8.71,8.393804,8.593771934509277
2011-05-31,8.07,8.765374,8.24401569366455
2011-06-01,8.53,9.170013,8.128470420837402
2011-06-02,8.99,9.440437,8.120264053344727
2011-06-03,9.45,8.965309,8.282523155212402
2011-06-06,8.56,9.116025,8.239717483520508
2011-06-07,9.14,9.446077,8.354957580566406
2011-06-08,9.17,8.985084,8.555767059326172
2011-06-09,8.9,9.126209,8.410428047180176
2011-06-10,8.96,9.126209,8.41964340209961
2011-06-13,8.96,9.126209,8.541877746582031
2011-06-14,8.9,9.046276,8.518620491027832
2011-06-15,8.68,8.820108,8.461418151855469
2011-06-16,8.68,8.902828,8.343853950500488
2011-06-17,8.81,8.589444,8.442584037780762
2011-06-20,8.41,8.66752,8.275232315063477
2011-06-21,8.5,8.946782,8.2406644821167
2011-06-22,8.84,8.947194,8.388138771057129
2011-06-23,8.68,8.807056,8.378962516784668
2011-06-24,8.56,8.589444,8.273316383361816
2011-06-27,8.59,8.778678,8.192997932434082
2011-06-28,8.47,8.66752,8.250676155090332
2011-06-29,8.5,8.726515,8.249777793884277
2011-06-30,8.53,8.66752,8.272405624389648
2011-07-01,8.5,8.66752,8.286110877990723
2011-07-04,8.59,8.66752,8.28179931640625
2011-07-05,8.47,8.831208,8.201153755187988
2011-07-06,8.65,8.807056,8.241731643676758
2011-07-07,8.65,8.807056,8.267848014831543
2011-07-08,8.56,8.66752,8.314518928527832
2011-07-11,8.5,8.777267,8.297009468078613
2011-07-12,8.59,8.726515,8.341540336608887
2011-07-13,8.53,8.756304,8.35601806640625
2011-07-14,8.56,9.206327,8.394164085388184
2011-07-15,8.96,8.893917,8.581029891967773
2011-07-18,8.77,9.388845,8.51303768157959
2011-07-19,9.14,9.269407,8.674464225769043
2011-07-20,9.14,9.634277,8.67479419708252
2011-07-21,9.79,9.939882,8.796327590942383
2011-07-22,9.73,9.662272,8.932848930358887
2011-07-25,9.42,9.662272,8.903263092041016
2011-07-26,9.49,9.497021,8.943663597106934
2011-07-27,9.38,9.731145,8.897612571716309
2011-07-28,9.62,9.805734,8.996657371520996
2011-07-29,9.59,9.662272,9.082919120788574
2011-08-01,9.59,9.662272,9.044563293457031
2011-08-02,9.49,9.627613,9.036188125610352
2011-08-03,9.49,9.358321,8.988296508789062
2011-08-04,9.21,9.493023,8.823132514953613
2011-08-05,9.25,9.45762,8.88010025024414
2011-08-08,9.25,9.354778,8.859729766845703
2011-08-09,9.11,9.126209,8.860770225524902
2011-08-10,9.08,9.238734,8.718550682067871
2011-08-11,8.94,9.243773,8.69035816192627
2011-08-12,9.08,9.325497,8.655653953552246
2011-08-15,9.18,9.269407,8.674614906311035
2011-08-16,9.04,9.269407,8.652190208435059
2011-08-17,9.14,9.500336,8.676241874694824
2011-08-18,9.38,9.627613,8.739852905273438
2011-08-19,9.35,9.45762,8.788260459899902
2011-08-22,9.38,9.463028,8.774429321289062
2011-08-23,9.21,9.354778,8.828713417053223
2011-08-24,9.21,9.298689,8.789141654968262
2011-08-25,9.14,9.354778,8.759556770324707
2011-08-26,9.21,9.354778,8.794533729553223
2011-08-29,9.21,9.454077,8.813523292541504
2011-08-30,9.38,9.463028,8.854897499084473
2011-08-31,9.32,9.491612,8.85229778289795
2011-09-01,9.45,10.171306,8.85289192199707
2011-09-05,10.07,9.821986,9.073355674743652
2011-09-06,9.56,9.662272,9.035433769226074
2011-09-07,9.69,9.819986,9.036537170410156
2011-09-08,9.73,9.662272,9.085829734802246
2011-09-09,9.56,9.662272,9.076326370239258
2011-09-12,9.45,9.45762,9.104365348815918
2011-09-13,9.35,9.627613,9.03618621826172
2011-09-14,9.35,9.358321,9.082930564880373
2011-09-15,9.21,9.325497,8.97300910949707
2011-09-16,9.21,9.238734,8.898170471191406
2011-09-19,9.08,9.471054,8.754755973815918
2011-09-20,9.11,9.269407,8.841282844543457
2011-09-21,9.11,9.269407,8.715370178222656
2011-09-22,9.08,9.426206,8.686532974243164
2011-09-23,9.11,9.243705,8.701590538024902
2011-09-26,9.08,9.238734,8.637345314025879
2011-09-27,9.04,9.248744,8.598142623901367
2011-09-28,9.52,9.780652,8.622628211975098
2011-09-29,9.56,9.491612,8.78791332244873
2011-09-30,9.28,9.45762,8.754927635192871
2011-10-03,9.32,9.354778,8.719328880310059
2011-10-04,9.14,9.269407,8.712456703186035
2011-10-05,9.11,9.248744,8.67050838470459
2011-10-06,9.08,9.269407,8.660674095153809
2011-10-07,9.11,9.243705,8.736210823059082
2011-10-10,9.11,9.243773,8.735383033752441
2011-10-11,9.08,9.238734,8.73900318145752
2011-10-12,9.01,9.126209,8.644608497619629
2011-10-13,8.94,9.046276,8.581518173217773
2011-10-14,8.91,9.126209,8.553637504577637
2011-10-17,8.98,9.126209,8.603891372680664
2011-10-18,8.87,9.046276,8.609992027282715
2011-10-19,8.84,8.916088,8.598005294799805
2011-10-20,8.77,8.901418,8.574524879455566
2011-10-21,8.77,9.262508,8.575486183166504
2011-10-24,9.08,9.238734,8.691073417663574
2011-10-25,9.08,9.126209,8.682570457458496
2011-10-26,8.98,9.238734,8.653690338134766
2011-10-27,8.98,9.238734,8.661162376403809
2011-10-28,9.04,9.238734,8.6425199508667
2011-10-31,9.11,9.126209,8.639664649963379
2011-11-01,8.98,9.046276,8.6272554397583
2011-11-02,8.94,8.961864,8.633824348449707
2011-11-03,8.8,8.893917,8.592153549194336
2011-11-04,8.91,8.820108,8.522514343261719
2011-11-07,8.56,8.589444,8.484479904174805
2011-11-08,8.53,8.476092,8.383870124816895
2011-11-09,8.33,8.381122,8.319302558898926
2011-11-10,8.12,8.055074,8.199599266052246
2011-11-11,7.95,8.055074,8.12332820892334
2011-11-14,7.88,8.048783,8.052903175354004
2011-11-15,7.85,8.055074,7.968837738037109
2011-11-16,7.85,8.419467,7.936047077178955
2011-11-17,8.33,8.439713,8.026224136352539
2011-11-18,8.33,8.438302,8.052959442138672
2011-11-21,8.16,8.381122,8.06047248840332
2011-11-22,8.12,8.369962,8.00035572052002
2011-11-23,8.12,8.381122,8.038727760314941
2011-11-24,8.19,8.381122,8.069981575012207
2011-11-25,8.05,8.369962,8.107759475708008
2011-11-28,8.02,8.066234,8.117375373840332
2011-11-29,7.92,7.889526,8.093567848205566
2011-11-30,7.78,7.883236,7.989412784576416
2011-12-01,7.68,7.883236,7.854194164276123
2011-12-02,7.61,7.883236,7.827623844146728
2011-12-05,7.68,7.883236,7.876197338104248
2011-12-06,7.71,7.883236,7.892404079437256
2011-12-07,7.61,7.883236,7.788132190704346
2011-12-08,7.51,7.455178,7.727512359619141
2011-12-09,7.34,7.444335,7.631428241729736
2011-12-12,7.13,7.24409,7.59891939163208
2011-12-13,7.03,7.226951,7.548094272613525
2011-12-14,7.0,7.226951,7.558550834655762
2011-12-15,6.89,7.226951,7.482288837432861
2011-12-16,6.86,7.4653673,7.3931050300598145
2011-12-19,7.17,7.6914625,7.463316440582275
2011-12-20,7.51,7.445444,7.589641094207764
2011-12-21,7.27,7.4435253,7.529240131378174
2011-12-22,7.06,7.178161,7.611316680908203
2011-12-23,6.82,7.178797,7.513760089874268
2011-12-26,6.96,7.178797,7.50354528427124
2011-12-27,6.72,7.178797,7.427316665649414
2011-12-28,6.62,7.246449,7.41286039352417
2011-12-29,7.03,7.4349236,7.540163993835449
2011-12-30,7.17,7.478478,7.573371410369873
2012-01-03,7.37,7.3704996,7.541268825531006
2012-01-04,6.96,7.178797,7.347644329071045
2012-01-05,6.82,7.178797,7.293278694152832
2012-01-06,6.89,7.178797,7.303183078765869
2012-01-09,6.76,7.2024884,7.319653034210205
2012-01-10,6.89,7.2803397,7.4818243980407715
2012-01-11,7.17,7.286636,7.561147689819336
2012-01-12,7.06,7.4839363,7.538060665130615
2012-01-13,7.17,7.459342,7.482558727264404
2012-01-16,7.27,7.4920697,7.41075849533081
2012-01-17,7.37,7.464741,7.5132880210876465
2012-01-18,7.34,7.5175643,7.601313591003418
2012-01-19,7.4,7.9689574,7.7306013107299805
2012-01-20,7.85,8.056484,7.952286720275879
2012-01-30,7.85,8.509322,8.063521385192871
2012-01-31,8.43,8.476092,8.26220417022705
2012-02-01,8.33,8.391776,8.36184024810791
2012-02-02,8.36,8.733816,8.32977294921875
2012-02-03,8.53,8.586416,8.50141716003418
2012-02-06,8.36,8.438302,8.47794246673584
2012-02-07,8.36,8.548626,8.491250991821289
2012-02-08,8.36,8.892303,8.538023948669434
2012-02-09,8.67,8.807056,8.662320137023926
2012-02-10,8.53,8.590553,8.577531814575195
2012-02-13,8.22,8.476092,8.455422401428223
2012-02-14,8.26,8.805443,8.361506462097168
2012-02-15,8.67,8.756304,8.485045433044434
2012-02-16,8.4,8.726515,8.415729522705078
2012-02-17,8.6,8.912654,8.417426109313965
2012-02-20,8.84,9.392195,8.485554695129395
2012-02-21,9.52,9.358321,8.641276359558105
2012-02-22,9.32,9.681496,8.642389297485352
2012-02-23,9.56,9.933601,8.844074249267578
2012-02-24,9.98,10.11446,8.991874694824219
2012-02-27,9.98,10.1840315,9.160540580749512
2012-02-28,10.01,9.981013,9.208674430847168
2012-02-29,9.65,9.906202,9.230815887451172
2012-03-01,9.69,10.20874,9.279305458068848
2012-03-02,10.12,10.507636,9.503437042236328
2012-03-05,10.51,11.036046,9.620936393737791
2012-03-06,11.29,10.40407,9.897459983825684
2012-03-07,10.15,10.365255,9.697580337524414
2012-03-08,10.05,9.921976,9.681270599365234
2012-03-09,9.8,10.036197,9.422472953796388
2012-03-09,9.8,10.034786,9.459716796875
2012-03-12,9.73,9.662272,9.533875465393066
2012-03-13,9.76,9.936533,9.373334884643556
2012-03-14,9.9,10.050449,9.341854095458984
2012-03-15,9.9,10.189589,9.275956153869627
2012-03-16,10.15,9.712189,9.22056484222412
2012-03-19,9.73,10.302891,9.06877613067627
2012-03-20,10.12,10.742854,9.164640426635742
2012-03-21,10.58,10.812401,9.445300102233888
2012-03-22,10.62,10.870807,9.422059059143066
2012-03-23,10.69,10.722614,9.53152561187744
2012-03-26,10.54,10.663816,9.600138664245604
2012-03-27,10.51,10.285217,9.58366870880127
2012-03-28,10.15,10.479688,9.498824119567873
2012-03-29,10.47,10.391935,9.641276359558104
2012-03-30,10.3,10.494789,9.770150184631348
2012-04-03,10.26,10.552845,9.73365306854248
2012-04-04,10.44,10.411912,9.664887428283691
2012-04-05,10.26,10.404622,9.579733848571776
2012-04-06,10.3,10.404622,9.518811225891112
2012-04-09,10.33,10.384686,9.48268985748291
2012-04-10,10.26,10.560278,9.471505165100098
2012-04-11,10.44,10.682015,9.598946571350098
2012-04-12,10.65,11.172683,9.635079383850098
2012-04-13,11.01,11.303934,9.872822761535645
2012-04-16,11.19,11.7503805,9.91233253479004
2012-04-17,11.65,12.250121,10.135544776916504
2012-04-18,12.08,12.166675,10.429659843444824
2012-04-19,12.04,12.097019,10.48815631866455
2012-04-20,12.04,11.870855,10.5827054977417
2012-04-23,11.68,11.845018,10.60547924041748
2012-04-24,11.72,11.750457,10.67497730255127
2012-04-25,11.79,11.7585535,10.726814270019531
2012-04-26,11.72,11.747299,10.770834922790527
2012-04-27,11.76,11.986756,10.7804536819458
2012-05-02,11.83,11.936035,10.783799171447754
2012-05-03,11.76,11.812405,10.690739631652832
2012-05-04,11.61,11.97487,10.666937828063965
2012-05-07,12.01,12.155015,10.659628868103027
2012-05-08,12.08,12.129217,10.756935119628906
2012-05-09,11.97,12.283084,10.774861335754396
2012-05-10,12.4,12.758878,10.906721115112305
2012-05-11,12.65,12.7703905,11.130011558532717
2012-05-14,13.0,13.199805,11.34107494354248
2012-05-15,13.18,12.781494,11.486796379089355
2012-05-16,12.58,12.187706,11.361720085144045
2012-05-17,12.11,11.750338,11.284064292907717
2012-05-18,11.44,11.54225,11.120482444763184
2012-05-21,11.58,11.815206,11.052204132080078
2012-05-22,11.58,11.528655,11.17870807647705
2012-05-23,11.22,10.878672,10.990216255187988
2012-05-24,10.72,10.65,10.616432189941406
2012-05-25,10.79,11.068264,10.19552516937256
2012-05-28,11.01,11.063458,10.165749549865724
2012-05-29,10.9,10.724367,10.124141693115234
2012-05-30,10.44,10.853082,9.86447048187256
2012-05-31,10.76,10.70748,9.83635139465332
2012-06-01,10.58,10.676496,9.568772315979004
2012-06-04,10.37,10.181393,9.448732376098633
2012-06-05,10.05,10.333375,9.338644981384276
2012-06-06,10.26,10.637363,9.47653102874756
2012-06-07,10.76,10.858456,9.524441719055176
2012-06-08,10.83,10.850017,9.503375053405762
2012-06-11,10.65,10.734982,9.569132804870604
2012-06-12,10.47,10.65632,9.557817459106444
2012-06-13,10.58,10.676496,9.482403755187988
2012-06-14,10.4,10.554758,9.55934238433838
2012-06-15,10.58,10.851288,9.546621322631836
2012-06-18,10.87,10.955083,9.81808090209961
2012-06-19,10.79,10.699984,9.824191093444824
2012-06-20,10.54,10.768822,9.707480430603027
2012-06-21,10.79,10.810648,9.737785339355469
2012-06-22,10.69,10.676496,9.75395679473877
2012-06-25,10.47,10.655092,9.741704940795898
2012-06-26,10.47,10.411912,9.71141529083252
2012-06-27,10.4,10.404622,9.641552925109863
2012-06-28,10.4,10.552988,9.665203094482422
2012-06-29,10.65,10.663816,9.649544715881348
2012-07-02,10.4,10.554758,9.619564056396484
2012-07-03,10.33,10.134898,9.635693550109863
2012-07-04,10.05,10.155925,9.416379928588867
2012-07-05,10.12,10.252413,9.389992713928224
2012-07-06,10.15,10.250205,9.431479454040527
2012-07-09,10.05,10.155925,9.412102699279783
2012-07-10,9.98,10.082888,9.373456954956056
2012-07-11,9.98,10.110247,9.309372901916504
2012-07-12,10.08,10.155925,9.267827033996582
2012-07-13,9.98,10.259477,9.203314781188965
2012-07-16,10.26,10.23689,9.28074550628662
2012-07-17,10.01,10.23689,9.291969299316406
2012-07-18,10.08,10.250205,9.258345603942873
